Teks,Bab,Pasal,Ayat,Poin,Penjelasan
"b.dalam bagian-bagian yang menurun dengan cara menerapkan tarif penyusutan atas nilai sisa buku (metode saldo menurun atau declining balance method). Penggunaan metode penyusutan atas harta harus dilakukan secara taat asas. Untuk harta berwujud berupa bangunan hanya dapat disusutkan dengan metode garis lurus. Harta berwujud selain bangunan dapat disusutkan dengan metode garis lurus atau metode saldo menurun. Dalam hal Wajib Pajak memilih menggunakan metode saldo menurun, nilai sisa buku pada akhir masa manfaat harus disusutkan sekaligus . Sesuai dengan pembukuan Wajib Pajak, alat-alat kecil (small tools) yang sama atau sejenis dapat disusutkan dalam satu golongan . Contoh penggunaan metode garis lurus : Sebuah gedung yang harga perolehannya Rp1.000.000.000,00 (satu miliar rupiah) dan masa manfaatnya 20 (dua puluh) tahun, penyusutannya setiap tahun adalah sebesar Rp50.000.000,00 (Rp1.000.000.000,00 : 20). Contoh penggunaan metode saldo menurun : Sebuah mesin yang dibeli dan ditempatkan pada bulan Januari 2009 dengan harga perolehan sebesar Rp150.000.000,00 (seratus lima puluh juta rupiah). Masa manfaat dari mesin tersebut adalah 4 (empat) tahun. Kalau tarif penyusutan misalnya ditetapkan 50% (lima puluh persen), penghitungan penyusutannya adalah sebagai berikut : Tahun Tarif Penyusutan Nilai Sisa Buku Harga Perolehan 150.000.000,00 2009 50% 75.000.000,00 75.000.000,00 2010 50% 37.500.000,00 37.500.000,00 2011 50% 18.750.000,00 18.750.000,00 2012 Disusutkan sekaligus 18.750.000,00 0 Ayat (3) Penyusutan dimulai pada bulan dilakukannya pengeluaran atau pada bulan selesainya pengerjaan suatu harta sehingga penyusutan pada tahun pertama dihitung secara pro-rata . Contoh 1 : Pengeluaran untuk pembangunan sebuah gedung adalah sebesar Rp1.000.000.000,00 (satu miliar rupiah). Pembangunan dimulai pada bulan Oktober 2009 dan selesai untuk digunakan pada bulan Maret 2010. Penyusutan atas harga perolehan bangunan gedung tersebut dimulai pada bulan Maret tahun pajak 2010 . Contoh 2 : Sebuah mesin yang dibeli dan ditempatkan pada bulan Juli 2009 dengan harga perolehan sebesar Rp100.000.000,00 (seratus juta rupiah). Masa manfaat dari mesin tersebut adalah 4 (empat) tahun. Kalau tarif penyusutan misalnya ditetapkan 50% (lima puluh persen), maka penghitungan penyusutannya adalah sebagai berikut. Tahun Tarif Penyusutan Nilai Sisa Buku Harga Perolehan 100.000.000,00 2009 6/12 x 50% 25.000.000,00 75.000.000,00 2010 50% 37.500.000,00 37.500.000,00 2011 50% 18.750.000,00 18.750.000,00 2012 50%  9.375.000,00  9.375.000,00TaxBase 6.0 Document - Page : 322013 Disusutkan sekaligus  9.375.000,00 0 Ayat (4) Berdasarkan persetujuan Direktur Jenderal Pajak, saat mulainya penyusutan dapat dilakukan pada bulan harta tersebut digunakan untuk mendapatkan, menagih, dan memelihara penghasilan atau pada bulan harta tersebut mulai menghasilkan. Saat mulai menghasilkan dalam ketentuan ini dikaitkan dengan saat mulai berproduksi dan tidak dikaitkan dengan saat diterima atau diperolehnya penghasilan. Contoh: PT X yang bergerak di bidang perkebunan membeli traktor pada tahun 2009. Perkebunan tersebut mulai menghasilkan (panen) pada tahun 2010. Dengan persetujuan Direktur Jenderal Pajak, penyusutan traktor tersebut dapat dilakukan mulai tahun 2010. Ayat (5) Cukup jelas. Ayat (6) Untuk memberikan kepastian hukum bagi Wajib Pajak dalam melakukan penyusutan atas pengeluaran harta berwujud, ketentuan ini mengatur kelompok masa manfaat harta dan tarif penyusutan baik menurut metode garis lurus maupun saldo menurun . Yang dimaksud dengan “bangunan tidak permanen” adalah bangunan yang bersifat sementara dan terbuat dari bahan yang tidak tahan lama atau bangunan yang dapat dipindah-pindahkan, yang masa manfaatnya tidak lebih dari 10 (sepuluh) tahun, misalnya barak atau asrama yang dibuat dari kayu untuk karyawan . Ayat (6a) Cukup jelas. Ayat (7) Dalam rangka menyesuaikan dengan karakteristik bidang-bidang usaha tertentu, seperti perkebunan tanaman keras, kehutanan, dan peternakan, perlu diberikan pengaturan tersendiri untuk penyusutan harta berwujud yang digunakan dalam bidang-bidang usaha tertentu tersebut . Ayat (8) dan ayat (9) Pada dasarnya keuntungan atau kerugian karena pengalihan harta dikenai pajak dalam tahun dilakukannya pengalihan harta tersebut. Apabila harta tersebut dijual atau terbakar, maka penerimaan neto dari penjualan harta tersebut, yaitu selisih antara harga penjualan dan biaya yang dikeluarkan berkenaan dengan penjualan tersebut dan atau penggantian asuransinya, dibukukan sebagai penghasilan pada tahun terjadinya penjualan atau tahun diterimanya penggantian asuransi, dan nilai sisa buku dari harta tersebut dibebankan sebagai kerugian dalam tahun pajak yang bersangkutan. Dalam hal penggantian asuransi yang diterima jumlahnya baru dapat diketahui dengan pasti pada masa kemudian, Wajib Pajak dapat mengajukan permohonan kepada Direktur Jenderal Pajak agar jumlah sebesar kerugian tersebut dapat dibebankan dalam tahun penggantian asuransi tersebut . Ayat (10) Menyimpang dari ketentuan sebagaimana dimaksud dalam ayat (8), dalam hal pengalihan harta berwujud yang memenuhi syarat sebagaimana dimaksud dalam Pasal 4 ayat (3) huruf a dan huruf b, nilai sisa bukunya tidak boleh dibebankan sebagai kerugian oleh pihak yang mengalihkan . Ayat (11) Dihapus . ",II,11,11,b,Bukan
"(1) Amortisasi atas pengeluaran untuk memperoleh harta tak berwujud dan pengeluaran lainnya termasuk biaya perpanjangan hak guna bangunan, hak guna usaha, hak pakai, dan muhibah (goodwill) yang mempunyai masa manfaat lebih dari 1 (satu) tahun yang dipergunakan untuk mendapatkan, menagih, dan memelihara penghasilan dilakukan dalam bagian-bagian yang samaTaxBase 6.0 Document - Page : 33besar atau dalam bagian-bagian yang menurun selama masa manfaat, yang dihitung dengan cara menerapkan tarif amortisasi atas pengeluaran tersebut atau atas nilai sisa buku dan pada akhir masa manfaat diamortisasi sekaligus dengan syarat dilakukan secara taat asas . ",II,11,1,,Bukan
"(1a) Amortisasi dimulai pada bulan dilakukannya pengeluaran, kecuali untuk bidang usaha tertentu. ",II,11,1a,,Bukan
"(2) Untuk menghitung amortisasi, masa manfaat dan tarif amortisasi ditetapkan sebagai berikut : Kelompok Harta Berwujud Masa ManfaatTarif Amortisasi berdasarkan metode Garis Lurus Saldo Menurun Kelompok 1 Kelompok 2 Kelompok 3 Kelompok 44 Tahun 8 Tahun 16 Tahun 20 Tahun25% 12,5% 6,25% 5%50% 25% 12,5% 10% ",II,11,2,,Bukan
"(2a) Apabila harta tak berwujud sebagaimana dimaksud pada ayat (2) mempunyai masa manfaat melebihi 20 (dua puluh) tahun, amortisasi sebagaimana dimaksud pada ayat (1) dilakukan sesuai dengan masa manfaat sebagaimana dimaksud pada ayat (2) untuk harta tak berwujud kelompok 4 atau sesuai dengan masa manfaat yang sebenarnya berdasarkan pembukuan ajib Pajak. ",II,11,2a,,Bukan
(3) Pengeluaran untuk biaya pendirian dan biaya perluasan modal suatu perusahaan dibebankan pada tahun terjadinya pengeluaran atau diamortisasi sesuai dengan ketentuan sebagaimana dimaksud dalam ayat (2). ,II,11,3,,Bukan
(4) Amortisasi atas pengeluaran untuk memperoleh hak dan pengeluaran lain yang mempunyai masa manfaat lebih dari 1 (satu) tahun di bidang penambangan minyak dan gas bumi dilakukan dengan menggunakan metode satuan produksi. ,II,11,4,,Bukan
(5) Amortisasi atas pengeluaran untuk memperoleh hak penambangan selain yang dimaksud pada ayat ,II,11,5,,Bukan
"(4), hak pengusahaan hutan, dan hak pengusahaan sumber alam serta hasil alam lainnya yang mempunyai masa manfaat lebih dari 1 (satu) tahun, dilakukan dengan menggunakan metode satuan produksi setinggi-tingginya 20% (dua puluh persen) setahun.. ",II,11,4,,Bukan
"(6) Pengeluaran yang dilakukan sebelum operasi komersial yang mempunyai masa manfaat lebih dari 1 (satu) tahun, dikapitalisasi dan kemudian diamortisasi sesuai dengan ketentuan sebagaimana dimaksud dalam ayat (2). ",II,11,6,,Bukan
"(7) Apabila terjadi pengalihan harta tak berwujud atau hak-hak sebagaimana dimaksud dalam ayat (1), ayat (4), dan ayat (5), maka nilai sisa buku harta atau hak-hak tersebut dibebankan sebagai kerugian dan jumlah yang diterima sebagai penggantian merupakan penghasilan pada tahun terjadinya pengalihan tersebut. ",II,11,7,,Bukan
(8) Apabila terjadi pengalihan harta yang memenuhi syarat sebagaimana dimaksud dalam Pasal 4 ayat ,II,11,8,,Bukan
"(3) huruf a dan huruf b, yang berupa harta tak berwujud, maka jumlah nilai sisa buku harta tersebut tidak boleh dibebankan sebagai kerugian bagi pihak yang mengalihkan. ",II,11,3,,Bukan
"Ayat (1) Harga perolehan harta tak berwujud dan pengeluaran lainnya termasuk biaya perpanjangan hak guna bangunan, hak guna usaha, hak pakai, dan muhibah (goodwill) yang mempunyai masa manfaat lebih dari 1 (satu) tahun diamortisasi dengan metode: ",II,11,3,,Ya
a.  dalam bagian-bagian yang sama setiap tahun selama masa manfaat; atau ,II,11,3,a,Bukan
"b.  dalam bagian-bagian yang menurun setiap tahun dengan cara menerapkan tarif amortisasi atas nilai sisa buku. Khusus untuk amortisasi harta tak berwujud yang menggunakan metode saldo menurun, pada akhir masa manfaat nilai sisa buku harta tak berwujud atau hak- hak tersebut diamortisasi sekaligus. Ayat (1a) Amortisasi dimulai pada bulan dilakukannya pengeluaran sehingga amortisasi pada tahun pertama dihitung secara pro-rata. Dalam rangka menyesuaikan dengan karakteristik bidang-bidang usaha tertentu perlu diberikan pengaturan tersendiri untuk saat dimulainya amortisasi. Ayat (2)TaxBase 6.0 Document - Page : 34Penentuan masa manfaat dan tarif amortisasi atas pengeluaran harta tak berwujud dimaksudkan untuk memberikan keseragaman bagi Wajib Pajak dalam melakukan amortisasi. Wajib Pajak dapat melakukan amortisasi sesuai dengan metode yang dipilihnya sebagaimana dimaksud pada ayat (1) berdasarkan masa manfaat yang sebenarnya dari tiap harta tak berwujud. Tarif amortisasi yang diterapkan didasarkan pada kelompok masa manfaat sebagaimana yang diatur dalam ketentuan ini. Untuk harta tidak berwujud yang masa manfaatnya tidak tercantum pada kelompok masa manfaat yang ada, maka Wajib Pajak menggunakan masa manfaat yang terdekat. Misalnya harta tak berwujud dengan masa manfaat yang sebenarnya 6 (enam) tahun dapat menggunakan kelompok masa manfaat 4 (empat) tahun atau 8 (delapan) tahun. Dalam hal masa manfaat yang sebenarnya 5 (lima) tahun, maka harta tak berwujud tersebut diamortisasi dengan menggunakan kelompok masa manfaat 4 (empat) tahun. Ayat (2a) Cukup jelas. Ayat (3) Cukup jelas. Ayat (4) Metode satuan produksi dilakukan dengan menerapkan persentase tarif amortisasi yang besarnya setiap tahun sama dengan persentase perbandingan antara realisasi penambangan minyak dan gas bumi pada tahun yang bersangkutan dengan taksiran jumlah seluruh kandungan minyak dan gas bumi di lokasi tersebut yang dapat diproduksi. Apabila ternyata jumlah produksi yang sebenarnya lebih kecil dari yang diperkirakan, sehingga masih terdapat sisa pengeluaran untuk memperoleh hak atau pengeluaran lain, maka atas sisa pengeluaran tersebut boleh dibebankan sekaligus dalam tahun pajak yang bersangkutan.. Ayat (5) Pengeluaran untuk memperoleh hak penambangan selain minyak dan gas bumi, hak pengusahaan hutan, dan hak pengusahaan sumber alam serta hasil alam lainnya seperti hak pengusahaan hasil laut diamortisasi berdasarkan metode satuan produksi dengan jumlah paling tinggi 20% (dua puluh persen) setahun. Contoh: Pengeluaran untuk memperoleh hak pengusahaan hutan, yang mempunyai potensi 10.000.000 (sepuluh juta) ton kayu, sebesar Rp500.000.000,00 (lima ratus juta rupiah) diamortisasi sesuai dengan persentase satuan produksi yang direalisasikan dalam tahun yang bersangkutan. Jika dalam 1 (satu) tahun pajak ternyata jumlah produksi mencapai 3.000.000 (tiga juta) ton yang berarti 30% (tiga puluh persen) dari potensi yang tersedia, walaupun jumlah produksi pada tahun tersebut mencapai 30% (tiga puluh persen) dari jumlah potensi yang tersedia, besarnya amortisasi yang diperkenankan untuk dikurangkan dari penghasilan bruto pada tahun tersebut adalah 20% (dua puluh persen) dari pengeluaran atau Rp100.000.000,00 (seratus juta rupiah). Ayat (6) Dalam pengertian pengeluaran yang dilakukan sebelum operasi komersial, adalah biaya-biaya yang dikeluarkan sebelum operasi komersial, misalnya biaya studi kelayakan dan biaya produksi percobaan tetapi tidak termasuk biaya-biaya operasional yang sifatnya rutin, seperti gaji pegawai, biaya rekening listrik dan telepon, dan biaya kantor lainnya. Untuk pengeluaran operasional yang rutin ini tidak boleh dikapitalisasi tetapi dibebankan sekaligus pada tahun pengeluaran . Ayat (7) Contoh: PT X mengeluarkan biaya untuk memperoleh hak penambangan minyak dan gas bumi di suatu lokasi sebesar Rp500.000.000,00. Taksiran jumlah kandungan minyak di daerah tersebut adalah sebanyak 200.000.000 (dua ratus juta) barel. Setelah produksi minyak dan gas bumi mencapai 100.000.000 (seratus juta) barel, PT X menjual hak penambangan tersebut kepada pihak lain dengan harga sebesar Rp300.000.000,00. Penghitungan penghasilan dan kerugian dari penjualan hak tersebut adalah sebagai berikut : Harga perolehan Rp500.000.000,00 Amortisasi yang telah dilakukan Rp250.000.000,00TaxBase 6.0 Document - Page : 35100.000.000/200.000.000 barel (50%) Nilai buku harta Rp250.000.000,00 Harga jual harta Rp300.000.000,00 Dengan demikian jumlah nilai sisa buku sebesar Rp250.000.000,00 dibebankan sebagai kerugian dan jumlah sebesar Rp300.000.000,00 dibukukan sebagai penghasilan . Ayat (8) Cukup jelas. ",II,11,3,b,Bukan
Dihapus. ,II,12,3,b,Bukan
Cukup jelas. ,II,12,3,b,Ya
Dihapus. ,II,13,3,b,Bukan
Cukup jelas. ,II,13,3,b,Ya
"(1)Norma Penghitungan Penghasilan Neto untuk menentukan penghasilan neto, dibuat dan disempurnakan terus-menerus serta diterbitkan oleh Direktur Jenderal Pajak. ",II,14,1,,Bukan
"(2)Wajib Pajak orang pribadi yang melakukan kegiatan usaha atau pekerjaan bebas yang peredaran brutonya dalam 1 (satu) tahun kurang dari Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah) boleh menghitung penghasilan neto dengan menggunakan Norma Penghitungan Penghasilan Neto sebagaimana dimaksud pada ayat (1), dengan syarat memberitahukan kepada Direktur Jenderal Pajak dalam jangka waktu 3 (tiga) bulan pertama dari tahun pajak yang bersangkutan. ",II,14,2,,Bukan
(3)Wajib Pajak sebagaimana dimaksud pada ayat (2) yang menghitung penghasilan netonya dengan menggunakan Norma Penghitungan Penghasilan Neto wajib menyelenggarakan pencatatan sebagaimana dimaksud dalam Undang-Undang yang mengatur mengenai ketentuan umum dan tata cara perpajakan. ,II,14,3,,Bukan
"(4)Wajib Pajak sebagaimana dimaksud pada ayat (2) yang tidak memberitahukan kepada Direktur Jenderal Pajak untuk menghitung penghasilan neto dengan menggunakan Norma Penghitungan Penghasilan Neto, dianggap memilih menyelenggarakan pembukuan. ",II,14,4,,Bukan
"(5)Wajib Pajak yang wajib menyelenggarakan pembukuan atau pencatatan, termasuk Wajib Pajak sebagaimana dimaksud pada ayat (3) dan ayat (4), yang ternyata tidak atau tidak sepenuhnya menyelenggarakan pencatatan atau pembukuan atau tidak memperlihatkan pencatatan atau bukti-bukti pendukungnya maka penghasilan netonya dihitung berdasarkan Norma Penghitungan Penghasilan Neto dan peredaran brutonya dihitung dengan cara lain yang diatur dengan atau berdasarkan Peraturan Menteri Keuangan. ",II,14,5,,Bukan
(6)Dihapus. ,II,14,6,,Bukan
(7)Besarnya peredaran bruto sebagaimana dimaksud pada ayat (2) dapat diubah dengan Peraturan Menteri Keuangan. ,II,14,7,,Bukan
"Informasi yang benar dan lengkap tentang penghasilan Wajib Pajak sangat penting untuk dapat mengenakan pajak yang adil dan wajar sesuai dengan kemampuan ekonomis Wajib Pajak. Untuk dapat menyajikan informasi dimaksud, Wajib Pajak harus menyelenggarakan pembukuan. Namun, disadari bahwa tidak semua Wajib Pajak mampu menyelenggarakan pembukuan. Semua Wajib Pajak badan dan bentuk usaha tetap diwajibkan menyelenggarakan pembukuan. Wajib Pajak orang pribadi yang menjalankan usahaTaxBase 6.0 Document - Page : 36atau melakukan pekerjaan bebas dengan jumlah peredaran bruto tertentu tidak diwajibkan untuk menyelenggarakan pembukuan . Untuk memberikan kemudahan dalam menghitung besarnya penghasilan neto bagi Wajib Pajak orang pribadi yang menjalankan usaha atau pekerjaan bebas dengan peredaran bruto tertentu, Direktur Jenderal Pajak menerbitkan norma penghitungan . Ayat (1) Norma Penghitungan adalah pedoman untuk menentukan besarnya penghasilan neto yang diterbitkan oleh Direktur Jenderal Pajak dan disempurnakan terus-menerus. Penggunaan Norma Penghitungan tersebut pada dasarnya dilakukan dalam hal-hal : ",II,14,7,,Ya
"a.tidak terdapat dasar penghitungan yang lebih baik, yaitu pembukuan yang lengkap, atau ",II,14,7,a,Bukan
"b.pembukuan atau catatan peredaran bruto Wajib Pajak ternyata diselenggarakan secara tidak benar. Norma Penghitungan disusun sedemikian rupa berdasarkan hasil penelitian atau data lain, dan dengan memperhatikan kewajaran . Norma Penghitungan akan sangat membantu Wajib Pajak yang belum mampu menyelenggarakan pembukuan untuk menghitung penghasilan neto . Ayat (2) Norma Penghitungan Penghasilan Neto hanya boleh digunakan oleh Wajib Pajak orang pribadi yang melakukan kegiatan usaha atau pekerjaan bebas yang peredaran brutonya kurang dari jumlah Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah). Untuk dapat menggunakan Norma Penghitungan Penghasilan Neto tersebut, Wajib Pajak orang pribadi harus memberitahukan kepada Direktur Jenderal Pajak dalam jangka waktu 3 (tiga) bulan pertama dari tahun pajak yang bersangkutan . Ayat (3) Wajib Pajak orang pribadi yang menggunakan Norma Penghitungan Penghasilan Neto tersebut wajib menyelenggarakan pencatatan tentang peredaran brutonya sebagaimana diatur dalam Undang-Undang yang mengatur mengenai ketentuan umum dan tata cara perpajakan. Pencatatan tersebut dimaksudkan untuk memudahkan penerapan norma dalam menghitung penghasilan neto . Ayat (4) Apabila Wajib Pajak orang pribadi yang berhak bermaksud untuk menggunakan Norma Penghitungan Penghasilan Neto, tetapi tidak memberitahukannya kepada Direktur Jenderal Pajak dalam jangka waktu yang ditentukan, Wajib Pajak tersebut dianggap memilih menyelenggarakan pembukuan . Ayat (5) Wajib Pajak yang wajib menyelenggarakan pembukuan, wajib menyelenggarakan pencatatan, atau dianggap memilih menyelenggarakan pembukuan, tetapi : ",II,14,7,b,Bukan
a.tidak atau tidak sepenuhnya menyelenggarakan kewajiban pencatatan atau pembukuan; atau ,II,14,7,a,Bukan
b.tidak bersedia memperlihatkan pembukuan atau pencatatan atau bukti-bukti pendukungnya pada waktu dilakukan pemeriksaan sehingga mengakibatkan peredaran bruto dan penghasilan neto yang sebenarnya tidak diketahui maka peredaran bruto Wajib Pajak yang bersangkutan dihitung dengan cara lain yang diatur dengan atau berdasarkan Peraturan Menteri Keuangan dan penghasilan netonya dihitung dengan menggunakan Norma Penghitungan Penghasilan Neto . Ayat (6) Cukup jelas. Ayat (7) Menteri Keuangan dapat menyesuaikan besarnya batas peredaran bruto sebagaimana dimaksud pada ayat (2) dengan memerhatikan perkembangan ekonomi dan kemampuan masyarakat Wajib Pajak untuk menyelenggarakan pembukuan. ,II,14,7,b,Bukan
dapat dihitung berdasarkan ketentuan Pasal 16 ayat (1) atau ayat (3) ditetapkan Menteri Keuangan. ,II,15,7,b,Bukan
"Ketentuan ini mengatur tentang Norma Penghitungan Khusus untuk golongan Wajib Pajak tertentu, antara lain perusahaan pelayaran atau penerbangan internasional, perusahaan asuransi luar negeri, perusahaan pengeboran minyak, gas dan panas bumi, perusahaan dagang asing, perusahaan yang melakukan investasi dalam bentuk bangun-guna-serah (“build, operate, and transfer”). Untuk menghindari kesukaran dalam menghitung besarnya Penghasilan Kena Pajak bagi golongan Wajib Pajak tertentu tersebut, berdasarkan pertimbangan praktis atau sesuai dengan kelaziman pengenaan pajak dalam bidang-bidang usaha tersebut, Menteri Keuangan diberi wewenang untuk menetapkan Norma Penghitungan Khusus guna menghitung besarnya penghasilan neto dari Wajib Pajak tertentu tersebut. ",II,15,7,b,Ya
CARA MENGHITUNG PAJAK ,IV,15,7,b,Bukan
(1)Penghasilan Kena Pajak sebagai dasar penerapan tarif bagi Wajib Pajak dalam negeri dalam suatu tahun pajak dihitung dengan cara mengurangkan dari penghasilan sebagaimana dimaksud dalam ,IV,16,1,,Bukan
(2)Penghasilan Kena Pajak bagi Wajib Pajak orang pribadi dan badan sebagaimana dimaksud dalam ,IV,7,2,,Bukan
dan untuk Wajib Pajak orang pribadi dikurangi dengan Penghasilan Tidak Kena Pajak sebagaimana dimaksud dalam Pasal 7 ayat (1). ,IV,14,2,,Bukan
(3)Penghasilan Kena Pajak bagi Wajib Pajak luar negeri yang menjalankan usaha atau melakukan kegiatan melalui suatu bentuk usaha tetap di Indonesia dalam suatu tahun pajak dihitung dengan cara mengurangkan dari penghasilan sebagaimana dimaksud dalam Pasal 5 ayat (1) dengan memerhatikan ketentuan dalam Pasal 4 ayat (1) dengan pengurangan sebagaimana dimaksud dalam ,IV,14,3,,Bukan
"huruf e, dan huruf g. ",IV,5,3,,Bukan
(4)Penghasilan Kena Pajak bagi Wajib Pajak orang pribadi dalam negeri yang terutang pajak dalam suatu bagian tahun pajak sebagaimana dimaksud dalam Pasal 2A ayat (6) dihitung berdasarkan penghasilan neto yang diterima atau diperoleh dalam bagian tahun pajak yang disetahunkan. ,IV,5,4,,Bukan
"Penghasilan Kena Pajak merupakan dasar penghitungan untuk menentukan besarnya Pajak Penghasilan yang terutang. Dalam Undang-Undang ini dikenal dua golongan Wajib Pajak, yaitu Wajib Pajak dalam negeri dan Wajib Pajak luar negeri. Bagi Wajib Pajak dalam negeri pada dasarnya terdapat dua cara untuk menentukan besarnya Penghasilan Kena Pajak, yaitu penghitungan dengan cara biasa dan penghitungan dengan menggunakan Norma Penghitungan. Di samping itu terdapat cara penghitungan dengan mempergunakan Norma Penghitungan Khusus, yang diperuntukkan bagi Wajib Pajak tertentu yang diatur dengan atau berdasarkan Peraturan Menteri Keuangan. Bagi Wajib Pajak luar negeri penentuan besarnya Penghasilan Kena Pajak dibedakan antara: 1.Wajib Pajak luar negeri yang menjalankan usaha atau melakukan kegiatan melalui suatu bentuk usaha tetap di Indonesia; dan 2.Wajib Pajak luar negeri lainnya. Ayat (1) Bagi Wajib Pajak dalam negeri yang menyelenggarakan pembukuan, Penghasilan Kena Pajaknya dihitung dengan menggunakan cara penghitungan biasa dengan contoh sebagai berikut. -Peredaran bruto Rp6.000.000.000,00 -Biaya untuk mendapatkan, menagih,TaxBase 6.0 Document - Page : 38dan memelihara penghasilan Rp5.400.000.000,00  (-) -Laba usaha (penghasilan neto usaha) Rp   600.000.000,00 -Penghasilan lainnya Rp50.000.000,00 -Biaya untuk mendapatkan, menagih, dan memelihara penghasilan lainnya tersebut Rp30.000.000,00  (-) Rp     20.000.000,00  (+) -Jumlah seluruh penghasilan neto Rp   620.000.000,00 -Kompensasi kerugian Rp     10.000.000,00  (-) -Penghasilan Kena Pajak (bagi Wajib Pajak badan) Rp   610.000.000,00 -Pengurangan berupa Penghasilan Tidak Kena Pajak untuk Wajib Pajak orang pribadi (isteri + 2 anak) Rp     19.800.000,00  (-) -Penghasilan Kena Pajak (bagi Wajib Pajak orang pribadi) Rp   590.200.000,00 Ayat (2) Bagi Wajib Pajak orang pribadi yang berhak untuk tidak menyelenggarakan pembukuan, Penghasilan Kena Pajaknya dihitung dengan menggunakan Norma Penghitungan Penghasilan Neto dengan contoh sebagai berikut. -Peredaran bruto Rp4.000.000.000,00 -Penghasilan neto (menurut Norma Penghitungan) misalnya 20% Rp   800.000.000,00 -Penghasilan neto lainnya Rp       5.000.000,00  (+) -Jumlah seluruh penghasilan neto Rp   805.000.000,00 -Penghasilan Tidak Kena Pajak (isteri + 3 anak) Rp     21.120.000,00  (-) -Penghasilan Kena Pajak Rp   783.880.000,00 Ayat (3) Bagi Wajib Pajak luar negeri yang menjalankan usaha atau melakukan kegiatan melalui suatu bentuk usaha tetap di Indonesia, cara penghitungan Penghasilan Kena Pajaknya pada dasarnya sama dengan cara penghitungan Penghasilan Kena Pajak bagi Wajib Pajak badan dalam negeri. Karena bentuk usaha tetap berkewajiban untuk menyelenggarakan pembukuan, Penghasilan Kena Pajaknya dihitung dengan cara penghitungan biasa . Contoh: -Peredaran bruto Rp10.000.000.000,00 -Biaya untuk mendapatkan, menagih, dan memelihara penghasilan Rp  8.000.000.000,00  (-) Rp  2.000.000.000,00 -Penghasilan bunga Rp       50.000.000,00 -Penjualan langsung barang yang sejenis dengan barang yang dijual bentuk usaha tetap oleh kantor pusat Rp2.000.000.000,00 -Biaya untuk mendapatkan, menagih, dan memelihara penghasilan Rp1.500.000.000,00  (-) Rp    500.000.000,00 -Dividen yang diterima atau diperoleh kantor pusat yang mempunyai hubungan efektif dengan bentuk usaha tetap Rp1.000.000.000,00  (+) Rp3.550.000.000,00 -Biaya-biaya menurut Pasal 5 ayat (3) Rp   450.000.000,00  (-) -Penghasilan Kena Pajak Rp3.100.000.000,00 Ayat (4) Contoh: Orang pribadi tidak kawin yang kewajiban pajak subjektifnya sebagai subjek pajak dalam negeri adalah 3 (tiga) bulan dan dalam jangka waktu tersebut memperoleh penghasilan sebesar Rp150.000.000,00 (seratus lima puluh juta rupiah) maka penghitungan Penghasilan Kena Pajaknya adalah sebagai berikut. Penghasilan selama 3 (tiga) bulan Rp150.000.000,00 Penghasilan setahun sebesar: Rp600.000.000,00TaxBase 6.0 Document - Page : 39(360 : (3x30)) x Rp150.000.000,00 Penghasilan Tidak Kena Pajak Rp  15.840.000,00  (-) Penghasilan Kena Pajak Rp584.160.000,00 ",IV,5,4,,Ya
(1) Tarif pajak yang diterapkan atas Penghasilan Kena Pajak bagi : ,IV,17,1,,Bukan
"a.Wajib Pajak orang pribadi dalam negeri adalah sebagai berikut : Lapisan Penghasilan Kena Pajak Tarif Pajak sampai dengan Rp60.000.000,00 (enam puluh juta rupiah) 5% (lima persen) di atas Rp60.000.000,00 (enam puluh juta rupiah) sampai dengan Rp250.000.000,00 (dua ratus lima puluh juta rupiah)15% (lima belas persen) di atas Rp 250.000.000,00 (dua ratus lima puluh juta rupiah) sampai dengan Rp500.000.000,00 (lima ratus juta rupiah)25% (dua puluh lima persen) di atas Rp500.000.000,00 (lima ratus juta rupiah) 30% (tiga puluh persen) di atas Rp5 .000.000.000,00 (lima miliar rupiah) 35% (tiga puluh lima persen) ",IV,17,1,a,Bukan
b.Wajib Pajak badan dalam negeri dan bentuk usaha tetap sebesar 22% (dua puluh dua persen) yang mulai berlaku pada tahun pajak 2022. ,IV,17,1,b,Bukan
(2) Tarif sebagaimana dimaksud pada ayat (1) huruf a dapat diubah dengan Peraturan Pemerintah setelah disampaikan oleh pemerintah kepada Dewan Perwakilan Ralryat Republik Indonesia untuk dibahas dan disepakati dalam penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara. ,IV,17,2,,Bukan
(2a) Dihapus. ,IV,17,2a,,Bukan
(2b) Wajib Pajak badan dalam negeri: ,IV,17,2b,,Bukan
a. berbentuk perseroan terbuka; ,IV,17,2b,a,Bukan
b. dengan jumlah keseluruhan saham yang disetor diperdagangkan pada bursa efek di Indonesia paling sedikit 40% (empat puluh persen); dan ,IV,17,2b,b,Bukan
"c. memenuhi persyaratan tertentu, dapat memperoleh tarif sebesar 3% (tiga persen) lebih rendah dari tarif sebagaimana dimaksud pada ayat (1) huruf b ",IV,17,2b,c,Bukan
(2c) Tarif yang dikenakan atas penghasilan berupa dividen yang dibagikan kepada Wajib Pajak orang pribadi dalam negeri adalah paling tinggi sebesar 10% (sepuluh persen) dan bersifat final. ,IV,17,2c,,Bukan
